approximate address,intersection,location description,status,location
2612 MAIN ST,Ocean Park Blvd & Main St,SW traffic signal on Ocean Park Blvd & Main St,Existing,"(34.00214264, -118.48386424)"
2626 CLOVERFIELD BLVD,OCEAN PARK BLVD & CLOVERFIELD BLVD,SE traffic signal on Ocean Park & Cloverfield Blvd,Existing,"(34.01591668, -118.46072362)"
2470 OCEAN PARK BLVD,OCEAN PARK BLVD & 25TH ST,SW traffic signal on Ocean Park Blvd & 25th St,Existing,"(34.01717058, -118.45857115)"
2717 OCEAN PARK BLVD,Ocean Park Blvd & 28th St,NW traffic signal on Ocean Park Blvd & 28th St,Existing,"(34.01885200, -118.45605677)"
3200 OCEAN PARK BLVD,OCEAN PARK BLVD & 31ST ST,SE traffic signal on Ocean Park Blvd & 31st St,Existing,"(34.02081850, -118.45222622)"
1047 OCEAN PARK BLVD,Ocean Park Blvd & 11th St,NW traffic signal on Ocean Park Blvd & 11th St,Existing,"(34.00840448, -118.47392369)"
2601 14TH ST,Ocean Park Blvd & 14th St,SE traffic signal on Ocean Park Blvd & 14th St,Existing,"(34.01045492, -118.47009312)"
1818 OCEAN PARK BLVD,Ocean Park Blvd & 20th St,SE traffic signal on Ocean Park Blvd & 20th St,Existing,"(34.01374368, -118.46449656)"
1700 OCEAN PARK BLVD,Ocean Park Blvd & 17th St,SE traffic signal on Ocean Park Blvd & 17th St,Existing,"(34.01247477, -118.46674874)"
2625 NEILSON WAY,Ocean Park Blvd & Neilson Way,SE traffic signal on Ocean Park Blvd & Neilson Way,Existing,"(34.00189640, -118.48427857)"
2101 OCEAN PARK BLVD,OCEAN PARK BLVD & 21ST ST,NE traffic signal on Ocean Park Blvd & 21st St,Existing,"(34.01441728, -118.46361781)"
2225 OCEAN PARK BLVD,Ocean Park Blvd & 23rd St,NW traffic signal on Ocean Park Blvd & 23rd St,Existing,"(34.01539195, -118.46190539)"
2526 6TH ST,OCEAN PARK BLVD & 6TH ST,North side of pedestrian crossing on Ocean Park Blvd & 6th St,Existing,"(34.00498359, -118.47976869)"
2437 MAIN ST,2437 Main St,East side of pedestrian crossing signal,Existing,"(34.00347617, -118.48491695)"
2901 NEILSON WAY,2901 Neilson Way,NE traffic signal on Neilson & Ashland,Existing,"(33.99934497, -118.48180218)"
2675 NEILSON WAY,Neilson Way & Hill St,NE traffic signal on Neilson Way & Hill St,Existing,"(34.00067966, -118.48314167)"
3358 BARNARD WAY,Neilson Way & Marine St,SW traffic signal on Neilson Way & Marine St,Existing,"(33.99744464, -118.48014194)"
NEILSON WAY & STRAND ST,Neilson Way & Strand St,NE traffic signal on Neilson Way & Strand St,Existing,"(34.00447984, -118.48714738)"
2900 MAIN ST,Main St & Ashland Ave,SW traffic signal on Main St & Ashland Ave,Existing,"(33.99943031, -118.48114435)"
2104 MAIN ST,Main St & Bicknell Ave,SW traffic signal on Main St & Bicknell Ave,Existing,"(34.00624263, -118.48812575)"
2702 MAIN ST,Main St & Hill St,SW traffic signal on Main St & Hill St,Existing,"(34.00083048, -118.48254479)"
3110 MAIN ST,MAIN ST & MARINE ST,SW traffic signal on Main St & Marine St,Existing,"(33.99787430, -118.47959486)"
2001 OCEAN AVE,Neilson Way & Bay St,SW traffic signal on Neilson Way & Bay St,Existing,"(34.00660158, -118.48953322)"
NEILSON WAY & HOLLISTER AVE,Neilson Way & Hollister Ave,Neilson Way & Hollister Ave,Proposed,"(34.00393424, -118.48651722)"
NEILSON WAY & PACIFIC ST,Neilson Way & Pacific St,NE traffic signal on Neilson Way & Pacific St,Existing,"(34.00533825, -118.48788860)"
1131 3RD ST PROMENADE,ARIZONA AVE & 3RD ST,SE traffic signal on Arizona Ave & 3rd St Promenade,Existing,"(34.01701395, -118.49749939)"
1324 5TH ST,ARIZONA AVE & 5TH ST,SW traffic signal on Arizona Ave & 5th St,Existing,"(34.01837617, -118.49574064)"
1303 LINCOLN BLVD,ARIZONA AVE & LINCOLN BLVD,SE traffic signal on Arizona Ave & Lincoln Bldv,Existing,"(34.02087463, -118.49274514)"
1310 11TH ST,ARIZONA AVE & 11TH ST,SW traffic signal on Arizona Ave & 11th St,Existing,"(34.02298200, -118.49007065)"
1931 WILSHIRE BLVD,20TH ST & WILSHIRE BLVD,NW traffic signal on Wilshire Blvd & 20th St,Existing,"(34.03138794, -118.48335354)"
1920 SANTA MONICA BLVD,20TH ST & SANTA MONICA BLVD,NW traffic signal on Santa Monica Blvd & 20th St,Existing,"(34.02866452, -118.48019995)"
1925 BROADWAY,20TH ST & BROADWAY,NW traffic signal on Broadway & 20th St,Existing,"(34.02730463, -118.47858964)"
1556 20TH ST,20TH ST & COLORADO AVE,NW traffic signal on Colorado Ave & 20th St,Existing,"(34.02598903, -118.47707044)"
1674 20TH ST,20TH ST & OLYMPIC BLVD,NW traffic signal on Olympic Blvd & 20th St,Existing,"(34.02430605, -118.47512630)"
,I-10 Eastbound Offramp & 20th St,East traffic signal at end of I-10 offramp,Existing,"(34.02308684, -118.47330844)"
1848 20TH ST,20TH ST & DELAWARE AVE,NW traffic signal on Delaware Ave & 20th St,Existing,"(34.02188174, -118.47228860)"
2045 20TH ST,20TH ST & PICO BLVD,NE traffic signal on Pico Blvd & 20th St,Existing,"(34.01965194, -118.46944237)"
1855 MAIN ST,Main St & Pico Blvd,NE traffic signal mast arm on Main St & Pico Blvd,Existing,"(34.00814110, -118.48968750)"
1440 PICO BLVD,Ocean Ave & Pico Blvd,SE traffic signal on Pico & Neilson,Existing,"(34.00755702, -118.49007784)"
NEILSON WAY & BICKNELL AVE,Neilson Way & Bicknell Ave,NW traffic signal on Neilson & Bicknell,Existing,"(34.00595002, -118.48888242)"
3320 PICO BLVD,4th St & Pico Blvd,SW traffic signal on 4th & Pico,Existing,"(34.00946367, -118.48726877)"
601 PICO BLVD,6th St & Pico Blvd,North side of pedestrian crossing on 6th & Pico,Existing,"(34.01116931, -118.48522238)"
1912 LINCOLN BLVD,Lincoln Blvd & Pico Blvd,SW traffic signal mast on Lincoln & Pico,Existing,"(34.01213603, -118.48296508)"
11TH ST & PICO BLVD,11th St & Pico Blvd,NW traffic signal mast arm on 11th & Pico,Existing,"(34.01407071, -118.47974728)"
14TH ST & PICO BLVD,14th St & Pico Blvd,NE traffic signal on 14th & Pico,Existing,"(34.01600802, -118.47607122)"
16TH ST & PICO BLVD,16th St & Pico Blvd,SE traffic signal on 16th & Pico,Existing,"(34.01693052, -118.47403694)"
17TH ST & PICO BLVD,17th St & Pico Blvd,SE traffic signal on 17th & Pico,Existing,"(34.01770823, -118.47253969)"
18TH CT & PICO BLVD,18th Ct & Pico Blvd,North side of pedestrian crossing on 18th & Pico,Existing,"(34.01869902, -118.47116298)"
2200 VIRGINIA AVE,Virginia Avenue Park,North side of pedestrian crossing on 23rd & Pico,Existing,"(34.02104740, -118.46662866)"
2241 VIRGINIA AVE,Virginia Ave & Cloverfield Blvd,NW traffic signal on Virginia & Cloverfield,Existing,"(34.02307004, -118.46769163)"
CLOVERFIELD BLVD & PICO BLVD,Cloverfield Blvd & Pico Blvd,SW traffic signal on Cloverfield & Pico,Existing,"(34.02139227, -118.46559793)"
2620 PICO BLVD,26th St & Pico Blvd,SE traffic signal on 26th & Pico,Existing,"(34.02319825, -118.46237908)"
2727 PICO BLVD,Stewart St/28th St & Pico Blvd,NW traffic signal on Stewart & Pico,Existing,"(34.02426196, -118.46071577)"
3305 PICO BLVD,33rd St & Pico Blvd,NW traffic signal nearest to Urban Ave,Existing,"(34.02693273, -118.45545419)"
3330 PICO BLVD,34th St & PIco Blvd,SW traffic signal on 34th & Pico,Existing,"(34.02727735, -118.45420764)"
2627 LINCOLN BLVD,Lincoln Blvd & Ocean Park Blvd,SE traffic signal on Lincoln & Ocean Park,Existing,"(34.00697830, -118.47615342)"
3201 AIRPORT AVE,Airport Park,On top of restroom facilities,Existing,"(34.01628700, -118.44595300)"
2600 OCEAN PARK BLVD,Clover Park,On top of Public Landscape Division building,Existing,"(34.01711300, -118.45700400)"
OCEAN AVE & MOOMAT AHIKO WAY,Ocean Ave & Moomat Ahiko Way,SW traffic signal on Ocean & Moomat Ahiko,Existing,"(34.01055634, -118.49408035)"
OCEAN AVE & COLORADO AVE,Ocean Ave & Santa Monica Pier,NW traffic signal on Ocean & Santa Monica Pier,Existing,"(34.01141909, -118.49507523)"
1615 OCEAN AVE,Tongva Park,Utility pole north of Weather Field No. 1,Existing,"(34.01129600, -118.49328300)"
200 SANTA MONICA PIER,Santa Monica Pier,Lamp post east of Bubba Gump,Existing,"(34.01011000, -118.49660000)"
200 SANTA MONICA PIER,Santa Monica Pier,Lamp post on the south side of pier adjacent to the rollercoaster,Existing,"(34.00883200, -118.49670500)"
,Beach Maintenance building,On NW corner of roof,Existing,"(34.01105966, -118.49642271)"
,Lot #2 North,On lamp post south of parking lot entrance,Existing,"(34.01261788, -118.49781151)"
1500 BLOCK OCEAN AVE,Ocean Ave & Broadway,SW traffic signal on Ocean & Broadway,Existing,"(34.01260472, -118.49651199)"
OCEAN AVE & SANTA MONICA BLVD,Ocean Ave & Santa Monica Blvd,SW traffic signal on Ocean & Santa Monica,Existing,"(34.01391424, -118.49803683)"
1299 OCEAN AVE,Ocean Ave & Arizona Ave,NE traffic signal on Ocean & Arizona,Existing,"(34.01556500, -118.49959840)"
101 WILSHIRE BLVD,Ocean Ave & Wilshire Blvd,NE traffic signal on Ocean & Wilshire,Existing,"(34.01696414, -118.50122823)"
OCEAN AVE & CALIFORNIA AVE,Ocean Ave & California Ave,SE traffic signal on Ocean & California,Existing,"(34.01820170, -118.50259608)"
900 BLOCK OCEAN AVE,Ocean Ave & Washington Ave,Lamp post on west side of Ocean Ave,Existing,"(34.01971688, -118.50482390)"
849 OCEAN AVE,Ocean Ave & Idaho Ave,Lamp post on NE corner of Ocean & Idaho,Existing,"(34.02100752, -118.50594562)"
800 OCEAN AVE,Ocean Ave & Montana Ave,SW traffic signal on Ocean & Montana,Existing,"(34.02209954, -118.50748894)"
617 OCEAN AVE,Ocean Ave between Alta Ave & Palisades Ave,Lamp post on east side of Ocean Ave between Alta and Palisades,Existing,"(34.02358793, -118.50897506)"
515 OCEAN AVE,Ocean Ave & Marguerita Ave,Lamp post in front of Park Plaza building,Existing,"(34.02453784, -118.51062415)"
300 BLOCK OCEAN AVE,Ocean Ave & San Vicente Blvd,Lamp post on west side of Ocean at crosswalk,Existing,"(34.02587318, -118.51325811)"
101 WILSHIRE BLVD,2nd St & Wilshire Blvd,NW traffic signal on 2nd & Wilshire,Existing,"(34.01758159, -118.50040610)"
1201 3RD ST PROMENADE,3rd St & Wilshire Blvd,SE traffic signal on 3rd & Wilshire,Existing,"(34.01835111, -118.49906020)"
335 WILSHIRE BLVD,4th St & Wilshire Blvd,NW traffic signal on 4th & Wilshire,Existing,"(34.01911700, -118.49848281)"
631 WILSHIRE BLVD,7th St & Wilshire Blvd,NW traffic signal on 7th & Wilshire,Existing,"(34.02141164, -118.49565456)"
1025 WILSHIRE BLVD,11th St & Wilshire Blvd,NW traffic signal on 11th & Wilshire,Existing,"(34.02446953, -118.49189294)"
1331 WILSHIRE BLVD,14th St & Wilshire Blvd,NW traffic signal on 14th & Wilshire,Existing,"(34.02676606, -118.48905974)"
1629 WILSHIRE BLVD,17th St & Wilshire Blvd,NW traffic signal on 17th & Wilshire,Existing,"(34.02908494, -118.48618874)"
2301 WILSHIRE BLVD,23rd St & Wilshire Blvd,NE traffic signal mast on 23rd & Wilshire,Existing,"(34.03355113, -118.48074926)"
2439 WILSHIRE BLVD,Douglas Park,Lamp post in front of Douglas Park,Existing,"(34.03507859, -118.47881037)"
2525 WILSHIRE BLVD,26th St & Wilshire Blvd,NW traffic signal on 26th & Wilshire,Existing,"(34.03600715, -118.47764692)"
2839 WILSHIRE BLVD,Yale St & Wilshire Blvd,NW traffic signal on Yale & Wilshire,Existing,"(34.03829680, -118.47482597)"
3021 WILSHIRE BLVD,Berkeley St & Wilshire Blvd,NW traffic signal mast on Berkeley & Wilshire,Existing,"(34.03971419, -118.47296048)"
1333 4TH ST,4th St between Arizona Ave & Santa Monica Blvd,East side of pedestrian crossing,Existing,"(34.01713689, -118.49587083)"
129 SANTA MONICA BLVD,2nd St & Santa Monica Blvd,NW traffic signal on 2nd & Santa Monica,Existing,"(34.01485536, -118.49719881)"
1401 3RD ST PROMENADE,3rd St Promenade & Santa Monica Blvd,SE traffic signal on 3rd & Santa Monica,Existing,"(34.01569368, -118.49594528)"
332 SANTA MONICA BLVD,4th St & Santa Monica Blvd,SW traffic signal on 4th & Santa Monica,Existing,"(34.01627423, -118.49511466)"
1460 3RD ST PROMENADE,3rd St Promenade & Broadway,NW traffic signal on 3rd & Broadway,Existing,"(34.01431213, -118.49466390)"
1501 4TH ST,4th St & Broadway,SE traffic signal on 4th & Broadway,Existing,"(34.01510918, -118.49341048)"
1699 4TH ST,4th St & Olympic Dr,NE traffic signal on 4th & Olympic Dr,Existing,"(34.01216734, -118.49003116)"
2221 LINCOLN BLVD,Lincoln Blvd & Pearl St,NE traffic signal on Lincoln & Pearl,Existing,"(34.00963478, -118.47955861)"
2807 LINCOLN BLVD,Lincoln Blvd & Ashland Ave,NE traffic signal on Lincoln & Ashland,Existing,"(34.00502417, -118.47357040)"
3111 LINCOLN BLVD,Lincoln Blvd & Marine St,NE traffic signal on Lincoln & Marine,Existing,"(34.00326945, -118.47116374)"
1343 6TH ST,7th St & Santa Monica Blvd,NW traffic signal on 6th & Santa Monica,Existing,"(34.01868739, -118.49248070)"
802 SANTA MONICA BLVD,Lincoln Blvd & Santa Monica Blvd,SE traffic signal on Lincoln & Santa Monica,Existing,"(34.01952016, -118.49117363)"
802 BROADWAY,Broadway & Lincoln Blvd,SE traffic signal on Lincoln & Broadway,Existing,"(34.01817082, -118.48963203)"
606 BROADWAY,6th St & Broadway,SE traffic signal on 6th & Broadway,Existing,"(34.01663818, -118.49152433)"
402 COLORADO AVE,4th St & Colorado Ave,SE traffic signal on 4th & Colorado,Existing,"(34.01376990, -118.49184186)"
602 COLORADO AVE,6th St & Colorado AVe,SE traffic signal on 6th & Colorado,Existing,"(34.01528356, -118.48997617)"
1601 LINCOLN BLVD,Lincoln Blvd & Colorado Ave,SE traffic signal on Colorado & Lincoln,Existing,"(34.01683753, -118.48804654)"
1661 LINCOLN BLVD,Olympic Blvd & Lincoln Blvd,NE traffic signal on Lincoln & Olympic (Westbound),Existing,"(34.01536367, -118.48635039)"
1758 LINCOLN BLVD,Linconl Blvd & Michigan Ave,On utility wire west of Michigan & Lincoln,Existing,"(34.01381162, -118.48492609)"
302 STRAND ST,Hotchkiss Park,On utility wire near SE corner of 3rd & Strand,Existing,"(34.00572018, -118.48474159)"
5TH ST & HOLLISTER AVE,Los Amigos Park,On utility wire at NE corner of 5th & Hollister,Existing,"(34.00655298, -118.48244976)"
1802 11TH ST,11th St & Michigan Ave,SW traffic signal mast on 11th & Michigan,Existing,"(34.01597845, -118.48184064)"
1748 11TH ST,11th St & Olympic Blvd Eastbound,SW traffic signal mast on 11th & Olympic (S of I-10),Existing,"(34.01639521, -118.48239307)"
1030 OLYMPIC BLVD,11th St & Olympic blvd Westbound,SW traffic signal mast on 11th & Olympic (N of I-10),Existing,"(34.01719222, -118.48332318)"
1027 BRAODWAY,11th St & Broadway,NW traffic signal on 11th & Broadway,Existing,"(34.02039640, -118.48709665)"
1117 SANTA MONICA BLVD,11th St & Santa Monica Blvd,NE traffic signal on 11th & Santa Monica,Existing,"(34.02191370, -118.48854544)"
1330 SANTA MONICA BLVD,14th St & Santa Monica Blvd,SW traffic signal on 14th & Santa Monica,Existing,"(34.02393641, -118.48566337)"
1502 14TH ST,14th St & Broadway,SW traffic signal on 14th & Broadway,Existing,"(34.02263989, -118.48418840)"
1525 EUCLID ST,Euclid Park,On utility wire near east entrance of the park on Euclid Ct,Existing,"(34.02206898, -118.48429969)"
1702 SANTA MONICA BLVD,17th St & Santa Monica Blvd,SE traffic signal on 17th & Santa Monica,Existing,"(34.02640458, -118.48267336)"
1620 BROADWAY,17th St & Broadway,SW traffic signal on 17th & Broadway,Existing,"(34.02492572, -118.48120610)"
2300 SANTA MONICA BLVD,23rd St & Santa Monica Blvd,SE traffic signal on 23rd & Santa Monica,Existing,"(34.03079734, -118.47731697)"
2500 BROADWAY,Broadway & Cloverfield Blvd,NW traffic signal on Broadway & Cloverfield,Existing,"(34.02977663, -118.47553893)"
2602 SANTA MONICA BLVD,26th St & Santa Monica Blvd,SE traffic signal on 26th & Santa Monica,Existing,"(34.03332221, -118.47413541)"
1458 26TH ST,26th St & Broadway,NW traffic signal on 26th & Broadway,Existing,"(34.03193908, -118.47292622)"
2823 SANTA MONICA BLVD,Yale St & Santa Monica Blvd,NW traffic signal on Yale & Santa Monica,Existing,"(34.03558581, -118.47166996)"
3102 SANTA MONICA BLVD,Berkeley St & Santa Monica Blvd,SE traffic signal on Berkeley & Santa Monica,Existing,"(34.03708092, -118.46942480)"
1532 OLYMPIC BLVD,Memorial Park,On utility wire at SE corner of 16th St & Olympic blvd,Existing,"(34.02102816, -118.47863268)"
1401 OLYMPIC BLVD,14th St & Olympic Blvd,NE traffic signal on 14th & Olympic,Existing,"(34.01988636, -118.48066375)"
1804 14TH ST,14th St & Michigan Ave,SE traffic signal mast on 14th & Michigan,Existing,"(34.01827954, -118.47904843)"
1631 COLORADO AVE,17th St & Colorado Ave,NW traffic signal on 17th & Colorado,Existing,"(34.02369491, -118.47990297)"
1674 17TH ST,17th St & Olympic Blvd,NW traffic signal on 17th & Olympic,Existing,"(34.02201749, -118.47794347)"
2501 COLORADO AVE,Cloverfield Blvd & Colorado Ave,NW traffic signal on Colorado & Cloverfield,Existing,"(34.02842811, -118.47400755)"
1601 CLOVERFIELD BLVD,Olympic Blvd & Cloverfield Blvd,NE traffic signal on Cloverfield & Olympic,Existing,"(34.02734016, -118.47233881)"
2600 COLORADO BLVD,26th St & Colorado Ave,SE traffic signal on 26th & Colorado,Existing,"(34.03068389, -118.47098360)"
1650 26TH ST,26th St & Pennsylvania,NE traffic signal on 26th & Pennsylvania,Existing,"(34.02977575, -118.47044611)"
2425 OLYMPIC BLVD,26th St & Olympic Blvd,NW traffic signal on 26th & Olympic,Existing,"(34.02813450, -118.47004367)"
2800 OLYMPIC BLVD,Olympic Blvd & Stewart St,SW traffic signal on Stewart St & Olympic,Existing,"(34.02947834, -118.46539113)"
2500 MICHIGAN AVE,Dead end of Michigan St,On utility wire at the entrance of Bergamot Station Arts Center,Existing,"(34.02759952, -118.46780636)"
2500 MICHIGAN AVE,Stewart Park / City Yards,On top of City Yards building between Stewart Park and Bergamot Station,Existing,"(34.02765456, -118.46729071)"
1802 CLOVERFIELD BLVD,Cloverfield Blvd & Michigan St,SW traffic signal on Michigan & Cloverfield,Existing,"(34.02530544, -118.47029003)"
